distance matrix	Population:	AFR___ACB	AFR___ASW	AFR___ESN	AFR___GWD	AFR___LWK	AFR___MSL	AFR___YRI	AMR___CLM	AMR___MXL	AMR___PEL	AMR___PUR	EAS___CDX	EAS___CHB	EAS___CHS	EAS___JPT	EAS___KHV	EUR___CEU	EUR___FIN	EUR___GBR	EUR___IBS	EUR___TSI	SAS___BEB	SAS___GIH	SAS___ITU	SAS___PJL	SAS___STU
ENSG00000167397___VKORC1__dist_max___BOOT1	1.0034325509240394	1.026550196136723	0.9753916958490039	0.9697381138432718	1.0083750714205046	0.9378903865644302	1.0183173057723867	1.0466107513192555	0.9942198993748819	0.9874128169371765	1.0076779699227318	1.019075560034046	0.9868391023213864	1.0448077683426669	1.0404698381985988	0.9783836272659269	0.9320549900551732	1.0267482810677373	0.9807687758572333	0.9675470681146758	1.0667485331376945	0.9698803895453463	0.977778303553957	1.0595754224282428	0.9560338553560935	1.0085590829695994	1.0041424789350015	
ENSG00000167397___VKORC1__dist_max___BOOT2	1.0010943551245681	1.0323139723826995	0.9680689147055662	0.944865789996577	1.0125312699548492	0.9794160572307732	0.9872807102540114	1.0277425579789419	0.9722095496694109	1.0234416178889665	1.011798401771279	0.9952835665875116	0.9843761482912078	1.0043733812615139	1.0400791291529097	0.9857881224006443	0.9523450472332645	1.0442911279158924	1.0136140720342095	0.9986484520478358	1.0117340377657829	0.9592643282883929	1.0093433171662012	1.04398480119063	0.9900060199073129	0.9931218490923305	1.0013359410922125	
ENSG00000167397___VKORC1__dist_max___BOOT3	1.0002826008198833	1.020218428236548	0.9916134343592232	0.9603987035432858	0.9991945708397991	0.9981755619962153	1.0022265558075636	1.0251957393289515	0.9735455494576388	1.0207579555662725	0.9857576845820227	0.9899673660952916	0.985018651816492	0.9798341454968781	1.0320134165453547	1.0003063097952722	0.9642317463234069	1.0439735009524205	0.9895795966320898	1.0069021017097308	1.0175387726711735	0.9590715198045183	1.0180492682131144	1.0291622356027137	1.0152540920989341	0.9935262081583449	0.9974403735644239	
ENSG00000167397___VKORC1__dist_max___BOOT4	1.0007060179273701	1.0040803599041144	0.9966523689371012	0.9790925042631439	0.9958693232178336	1.007432002467996	1.0031910226737826	1.0186928296195537	0.9958326012214405	1.0030610468775016	1.012179345411633	0.9951214547623177	0.9737758175779534	0.988246563076423	1.0291190493693747	1.0086741633598197	0.9585161811952476	1.0382878251935208	0.9730349820312197	1.0191563165097284	1.0048769767349786	0.9757936572567094	1.0193690378024867	1.0131392197274627	1.0186889090399842	0.9906516169310086	0.9945872361485327	
ENSG00000167397___VKORC1__dist_max___BOOT5	1.0008425269164722	0.9949692950972472	1.004193619138577	0.9748725598733498	0.9999398715509802	1.0140539970014286	0.9903063058267922	1.0107375404608565	0.9992912467468792	0.9963973778513487	1.0183936561489102	1.004890908279784	0.9807324804778137	0.9845368276542987	1.0295887980611589	1.0094656070603025	0.9795559174844758	1.0270404752453215	0.9845407297796508	0.998805108808631	1.013048606425807	0.9866024868948862	1.0219483578027189	1.005955151801834	1.0040353678158416	0.9901728019220561	0.9968471322211248	
ENSG00000167397___VKORC1__dist_max___BOOT6	0.999652394674344	0.975801105879727	1.011957228282385	0.9759527865888387	0.9986265022307377	1.0188344435486416	0.9921211373709823	1.0058155767084163	1.0021775300094784	0.9982541903995743	1.0084866176427698	1.000848493016443	0.9768123817410985	0.9938180885118658	1.021179359993309	1.003817092164366	0.9815481547421935	1.0318686697853083	0.9801971339566596	1.0034601669232572	1.00997028875962	0.9913162097769337	1.0200279477693381	1.0081312897424126	1.0118117207493618	0.9791984385508652	0.9908100178558806	
ENSG00000167397___VKORC1__dist_max___BOOT7	0.9989503641492394	0.9784307290235051	1.0074683435445437	0.9794906843613616	1.005248328706641	1.0128401812203915	0.9944663984880965	1.0100665747960726	0.9945853297013441	1.0110372417308784	1.0141871123827966	0.9881984953270799	0.9743218603830244	0.9984023012213977	1.0141252104842169	1.0001464527025894	0.9810957689416278	1.0248098274824693	0.9821420026751249	1.0002651503809974	1.01536942617626	0.9985960739860923	1.0116890921701427	1.0052781696676607	1.0068477196359529	0.9751304183213205	0.9934070694441364	
ENSG00000167397___VKORC1__dist_max___BOOT8	0.9981883625157691	0.9833425086411522	0.999284772516709	0.9840740138527	1.0013274365045715	1.0154778677038585	0.9975454529910064	1.006525285779585	0.9923264072091561	1.0092989049479277	1.0081488515219612	0.9826202491674755	0.9798150922114321	0.980916903536868	1.011642959383706	1.001207252523551	0.9886811901729387	1.0332926886750002	0.987772667266314	1.001153340830296	1.0082398806178399	0.9998869422315125	0.9987199095059051	1.0007100201326424	1.0127706114315238	0.9800898045592437	0.991985477279193	
ENSG00000167397___VKORC1__dist_max___BOOT9	0.9988678809409818	0.9880727506287664	0.9900877980497239	0.9812538460542808	1.0036493200543135	1.0149783321993544	0.9996873596460515	1.0118975052738417	0.993037936642054	1.0069607873330435	1.0107210406193405	0.9862966948772407	0.9759063260964733	0.9851738883222717	1.0171957585773141	1.001206246954812	0.9877915032073261	1.0355826766940828	0.993889422709824	1.0036328706356115	1.0060547831845545	0.9997456064957428	0.9968179860394645	1.0022018057882094	1.0045707983251715	0.9743419298202113	0.9890778606799032	
ENSG00000167397___VKORC1__dist_max___BOOT10	0.9992649114950295	0.9933036255747296	1.0015157050150856	0.9811410644939456	1.0070128086054295	1.0137591589607604	0.9978697225787427	1.0048500572271986	1.0008147795365117	1.0024341882369805	1.0008125527945597	0.9859531575890702	0.9761419372877087	0.9906983367886152	1.014702865275702	1.0056809202531332	0.987866553209393	1.0335957334103105	0.9961105633328515	1.0015836125552113	1.0054259702804746	1.0001039750764107	0.9956950641548391	0.9983309024455352	1.0041972308121399	0.9835348718756658	0.9907526819102741	
ENSG00000167397___VKORC1__dist_max___BOOT11	0.999160419819546	0.9927144498184408	1.0053233450608088	0.9865529121808884	1.0118131209382546	1.0128163817593856	0.9931517344368711	1.0019633557634922	1.0048997136046576	1.0081294239633	1.0019200448548837	0.9935143597055343	0.9800921994745446	0.9887473023892357	1.0154007058987717	1.0034886344744092	0.9889899540345234	1.024948028489906	0.9995674243392215	0.9970546673536328	1.0029056490509878	1.0048965472276454	0.9881093880014601	0.9949807281045072	1.0036616383050998	0.9873194936899109	0.9815228623839329	
ENSG00000167397___VKORC1__dist_max___BOOT12	0.9993241375910296	0.9889774327612925	1.010090229409019	0.9829757278725442	1.0077407594547831	1.0132088143623899	1.0006841900161907	0.9969074489049883	1.005242564260758	1.0031933459885585	0.9977649950467262	0.9968613382037619	0.9824473691673368	0.9902869196729012	1.011569156487571	1.0075498081414966	0.986679794322659	1.0211658016805365	1.0002528884476747	1.0005732658145563	1.0034376701733225	1.0091941604621235	0.9895102940160642	0.9957337351275154	1.0053350424273955	0.9862938082070325	0.9860534963601312	
