	min_gdr	max_gdr
AFR___ACB	1.04259899616324	1.15534772392302
AFR___ASW	0.983721892988098	1.13065973373414
AFR___ESN	0.968652521597784	1.10699277470313
AFR___GWD	1.00246598694652	1.09644382249707
AFR___LWK	1.01791815853437	1.1718305094998
AFR___MSL	0.971478055481605	1.11884486226734
AFR___YRI	0.852806087308494	0.933909466465391
AMR___CLM	0.754263351129858	0.865845264928116
AMR___MXL	0.567792571259213	0.653300444458016
AMR___PEL	0.89571152100025	0.926092536134785
AMR___PUR	0.398755581939438	0.688203175539621
EAS___CDX	0.213705155560227	0.463652160762555
EAS___CHB	0.354412079853332	0.563145230870617
EAS___CHS	0.345389223479386	0.483315242745608
EAS___JPT	0.404477087954678	0.656772427979836
EAS___KHV	0.757656328202007	0.870670665836094
EUR___CEU	0.737239082953875	0.860865477008665
EUR___FIN	0.701497068155195	0.85821635187988
EUR___GBR	0.744633620518307	0.869276641070793
EUR___IBS	0.680957747885776	0.847886158041777
EUR___TSI	0.17257181445583	0.781793961049338
SAS___BEB	0.173291879643981	0.846514992680191
SAS___GIH	0.213578394274729	0.797974877468732
SAS___ITU	0.384005761879083	0.864877113671091
SAS___PJL	0.179940920174186	0.8299230845129
